PATCH 1045 - largest files audit
Generated: 2026-05-29T14:13:29+02:00

Scope: public/, public/assets/ through public/, and docs/ when present. node_modules excluded. Duplicate paths removed.

        Size	Type  	Path
     2.88 MB	.png  	public/assets/universes/outrun/board_preview.png
     2.78 MB	.png  	public/assets/ui/paperboy/paperboy_boss_system_bg.png
     2.76 MB	.png  	public/assets/ui/worldmap/world_map_minimap_16_9.png
     2.74 MB	.png  	public/assets/map/world_map.png
     2.54 MB	.png  	public/assets/ui/outrun/outrun_boss_system_bg.png
     2.48 MB	.png  	public/assets/ui/fighter/fighter_boss_system_bg.png
     2.44 MB	.png  	public/assets/ui/shinobi/shinobi_boss_system_bg.png
     2.42 MB	.png  	public/assets/ui/streets/streets_clear_bg.png
     2.42 MB	.png  	public/assets/ui/streets/streets_system_bg.png
     2.40 MB	.png  	public/assets/level-intros/paperboy/intro.png
     2.38 MB	.png  	public/assets/level-intros/outrun/intro.png
     2.38 MB	.png  	public/assets/ui/castle/castle_clear_bg.png
     2.33 MB	.png  	public/assets/level-intros/sonic/intro.png
     2.33 MB	.png  	public/assets/universes/paperboy/board_preview.png
     2.24 MB	.png  	public/assets/ui/outrun/outrun_clear_bg.png
     2.23 MB	.png  	public/assets/level-intros/kombat/intro.png
     2.20 MB	.png  	public/assets/ui/streets/streets_boss_system_bg.png
     2.19 MB	.png  	public/assets/ui/sonic/sonic_boss_system_bg.png
     2.19 MB	.png  	public/assets/level-intros/castle/intro.png
     2.18 MB	.png  	public/assets/universes/kombat/board_preview.png
     2.18 MB	.png  	public/assets/level-intros/streets/intro.png
     2.18 MB	.png  	public/assets/level-intros/fighter/intro.png
     2.16 MB	.png  	public/assets/level-intros/shinobi/intro.png
     2.14 MB	.png  	public/assets/ui/castle/castle_boss_system_bg.png
     2.12 MB	.png  	public/assets/ui/shinobi/shinobi_system_bg.png
     2.12 MB	.png  	public/assets/ui/kombat/kombat_boss_system_bg.png
     2.11 MB	.png  	public/assets/universes/castle/board_preview.png
     2.09 MB	.png  	public/assets/ui/shinobi/shinobi_clear_bg.png
     2.06 MB	.png  	public/assets/ui/castle/castle_system_bg.png
     2.04 MB	.png  	public/assets/universes/shinobi/board_preview.png
     2.04 MB	.png  	public/assets/ui/kombat/kombat_clear_bg.png
     2.03 MB	.png  	public/assets/universes/fighter/board_preview.png
     2.02 MB	.png  	public/assets/ui/fighter/fighter_system_bg.png
     2.01 MB	.png  	public/assets/ui/paperboy/paperboy_system_bg.png
     2.00 MB	.png  	public/assets/ui/fighter/fighter_clear_bg.png
     1.99 MB	.png  	public/assets/ui/paperboy/paperboy_gameplay_bg.png
     1.94 MB	.png  	public/assets/ui/outrun/outrun_system_bg.png
     1.94 MB	.png  	public/assets/universes/streets/board_preview.png
     1.93 MB	.png  	public/assets/ui/sonic/sonic_system_bg.png
     1.92 MB	.png  	public/assets/ui/sonic/sonic_clear_bg.png
