path,size_mb,width,height,category,priority,recommendation,risk
public/assets/universes/outrun/board_preview.png,2.883,1024,1536,board_preview,P0,WebP conversion (lossy 85%) — save 60-70%,"Low — backgrounds, no alpha needed"
public/assets/ui/paperboy/paperboy_boss_system_bg.png,2.780,941,1672,background_ui,P0,WebP conversion (lossy 85%) — save 60-70%,"Low — backgrounds, no alpha needed"
public/assets/ui/worldmap/world_map_minimap_16_9.png,2.761,1672,941,worldmap_ui,P0,WebP conversion (lossy 85%) — save 60-70%,"Low — backgrounds, no alpha needed"
public/assets/map/world_map.png,2.741,1448,1086,worldmap_bg,P0,WebP conversion (lossy 85%) — save 60-70%,"Low — backgrounds, no alpha needed"
public/assets/ui/outrun/outrun_boss_system_bg.png,2.544,941,1672,background_ui,P0,WebP conversion (lossy 85%) — save 60-70%,"Low — backgrounds, no alpha needed"
public/assets/ui/fighter/fighter_boss_system_bg.png,2.476,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/shinobi/shinobi_boss_system_bg.png,2.444,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/streets/streets_clear_bg.png,2.420,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/streets/streets_system_bg.png,2.419,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/paperboy/intro.png,2.401,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/outrun/intro.png,2.382,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/castle/castle_clear_bg.png,2.376,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/sonic/intro.png,2.329,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/paperboy/board_preview.png,2.325,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/outrun/outrun_clear_bg.png,2.244,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/kombat/intro.png,2.228,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/streets/streets_boss_system_bg.png,2.200,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/sonic/sonic_boss_system_bg.png,2.191,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/castle/intro.png,2.186,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/kombat/board_preview.png,2.180,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/level-intros/streets/intro.png,2.178,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/fighter/intro.png,2.176,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/level-intros/shinobi/intro.png,2.157,941,1672,intro_screen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/castle/castle_boss_system_bg.png,2.141,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/shinobi/shinobi_system_bg.png,2.123,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
