selection_id,level_id,level_name,level_type,icon_type,candidate_rank,candidate_name,candidate_path,preview_path,reason,relevance,risk
castle_normal.pickup.c1,castle_normal,Jardin d Illusion,normal,pickup,1,1F31F glowing star,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F31F.svg,preview-assets/1F31F.svg,eclat brillant magique,fort,faible
castle_normal.pickup.c2,castle_normal,Jardin d Illusion,normal,pickup,2,2728 sparkles,/home/kali/apps/snake/design_boards/openemoji/color/svg/2728.svg,preview-assets/2728.svg,etincelles multiples,fort,faible
castle_normal.pickup.c3,castle_normal,Jardin d Illusion,normal,pickup,3,1F48E gem stone,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F48E.svg,preview-assets/1F48E.svg,gemme cristal,moyen,faible
castle_normal.pickup.c4,castle_normal,Jardin d Illusion,normal,pickup,4,2747 sparkle,/home/kali/apps/snake/design_boards/openemoji/color/svg/2747.svg,preview-assets/2747.svg,etincelle simple,moyen,petit a 72px
castle_normal.pickup.c5,castle_normal,Jardin d Illusion,normal,pickup,5,1F4AB dizzy,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4AB.svg,preview-assets/1F4AB.svg,etoiles tournoiement,moyen,sens ambigu
castle_normal.obstacle.c1,castle_normal,Jardin d Illusion,normal,obstacle,1,1F9F1 brick,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9F1.svg,preview-assets/1F9F1.svg,brique mur qui apparait,fort,faible
castle_normal.obstacle.c2,castle_normal,Jardin d Illusion,normal,obstacle,2,1F47B ghost,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F47B.svg,preview-assets/1F47B.svg,mur fantome etat ghost,fort,faible
castle_normal.obstacle.c3,castle_normal,Jardin d Illusion,normal,obstacle,3,1F3F0 castle,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3F0.svg,preview-assets/1F3F0.svg,univers chateau,moyen,trop grand
castle_normal.obstacle.c4,castle_normal,Jardin d Illusion,normal,obstacle,4,26A0 warning,/home/kali/apps/snake/design_boards/openemoji/color/svg/26A0.svg,preview-assets/26A0.svg,danger imminent,moyen,generique
castle_normal.obstacle.c5,castle_normal,Jardin d Illusion,normal,obstacle,5,1F6D1 stop sign,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6D1.svg,preview-assets/1F6D1.svg,barriere arret,moyen,couleur forte
castle_boss.boss_entity.c1,castle_boss,La Sorciere au Miroir,boss,boss_entity,1,1FA9E mirror,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA9E.svg,preview-assets/1FA9E.svg,miroir exact mechanic witchMirror,fort,faible
castle_boss.boss_entity.c2,castle_boss,La Sorciere au Miroir,boss,boss_entity,2,1FAA9 mirror ball,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FAA9.svg,preview-assets/1FAA9.svg,boule miroir magique,fort,faible
castle_boss.boss_entity.c3,castle_boss,La Sorciere au Miroir,boss,boss_entity,3,1F9D9-200D-2640-FE0F woman mage,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9D9-200D-2640-FE0F.svg,preview-assets/1F9D9-200D-2640-FE0F.svg,sorciere correspondance directe,fort,skin tone
castle_boss.boss_entity.c4,castle_boss,La Sorciere au Miroir,boss,boss_entity,4,1F52E crystal ball,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F52E.svg,preview-assets/1F52E.svg,boule cristal sorciere,fort,faible
castle_boss.boss_entity.c5,castle_boss,La Sorciere au Miroir,boss,boss_entity,5,1FA84 magic wand,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA84.svg,preview-assets/1FA84.svg,baguette magique,moyen,faible
sonic_normal.pickup.c1,sonic_normal,Zone des Anneaux,normal,pickup,1,1F48D ring,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F48D.svg,preview-assets/1F48D.svg,anneau dore Sonic iconique,fort,faible
sonic_normal.pickup.c2,sonic_normal,Zone des Anneaux,normal,pickup,2,1FA99 coin,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA99.svg,preview-assets/1FA99.svg,piece ronde brillante,fort,faible
sonic_normal.pickup.c3,sonic_normal,Zone des Anneaux,normal,pickup,3,1F7E1 yellow circle,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F7E1.svg,preview-assets/1F7E1.svg,cercle jaune simple,moyen,trop simple
sonic_normal.pickup.c4,sonic_normal,Zone des Anneaux,normal,pickup,4,1F7E0 orange circle,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F7E0.svg,preview-assets/1F7E0.svg,cercle orange variante,moyen,trop simple
sonic_normal.pickup.c5,sonic_normal,Zone des Anneaux,normal,pickup,5,26AA white circle,/home/kali/apps/snake/design_boards/openemoji/color/svg/26AA.svg,preview-assets/26AA.svg,cercle blanc neutre,faible,faible contraste fond sombre
sonic_normal.obstacle.c1,sonic_normal,Zone des Anneaux,normal,obstacle,1,26D4 no entry,/home/kali/apps/snake/design_boards/openemoji/color/svg/26D4.svg,preview-assets/26D4.svg,cercle barre passage interdit,moyen,rouge tres fort
sonic_normal.obstacle.c2,sonic_normal,Zone des Anneaux,normal,obstacle,2,26AA white circle,/home/kali/apps/snake/design_boards/openemoji/color/svg/26AA.svg,preview-assets/26AA.svg,anneau inactif gris,faible,trop similaire pickup
sonic_normal.obstacle.c3,sonic_normal,Zone des Anneaux,normal,obstacle,3,26A0 warning,/home/kali/apps/snake/design_boards/openemoji/color/svg/26A0.svg,preview-assets/26A0.svg,danger obstacle,moyen,generique
sonic_normal.obstacle.c4,sonic_normal,Zone des Anneaux,normal,obstacle,4,1F4A3 bomb,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4A3.svg,preview-assets/1F4A3.svg,danger explosion,moyen,semantique lethal
sonic_normal.obstacle.c5,sonic_normal,Zone des Anneaux,normal,obstacle,5,1F6AB prohibited,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6AB.svg,preview-assets/1F6AB.svg,interdit passage,moyen,faible
sonic_boss.boss_entity.c1,sonic_boss,Serpent en Boucle,boss,boss_entity,1,1F40D snake,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F40D.svg,preview-assets/1F40D.svg,serpent exact mechanic loopSerpent,fort,faible
sonic_boss.boss_entity.c2,sonic_boss,Serpent en Boucle,boss,boss_entity,2,27B0 curly loop,/home/kali/apps/snake/design_boards/openemoji/color/svg/27B0.svg,preview-assets/27B0.svg,boucle courbe trajectoire boss,fort,faible
sonic_boss.boss_entity.c3,sonic_boss,Serpent en Boucle,boss,boss_entity,3,27BF double curly loop,/home/kali/apps/snake/design_boards/openemoji/color/svg/27BF.svg,preview-assets/27BF.svg,double boucle plus complexe,fort,faible
sonic_boss.boss_entity.c4,sonic_boss,Serpent en Boucle,boss,boss_entity,4,1F300 cyclone,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F300.svg,preview-assets/1F300.svg,spirale tourbillon,moyen,faible
sonic_boss.boss_entity.c5,sonic_boss,Serpent en Boucle,boss,boss_entity,5,26CE Ophiuchus,/home/kali/apps/snake/design_boards/openemoji/color/svg/26CE.svg,preview-assets/26CE.svg,signe serpent ophiuchus,faible,sens astrologique
streets_normal.pickup.c1,streets_normal,Bagarre en Ruelle,normal,pickup,1,1F48E gem stone,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F48E.svg,preview-assets/1F48E.svg,gemme bonus rue,fort,faible
streets_normal.pickup.c2,streets_normal,Bagarre en Ruelle,normal,pickup,2,2666 diamond suit,/home/kali/apps/snake/design_boards/openemoji/color/svg/2666.svg,preview-assets/2666.svg,diamant carte playing card,fort,faible
streets_normal.pickup.c3,streets_normal,Bagarre en Ruelle,normal,pickup,3,1F536 large orange diamond,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F536.svg,preview-assets/1F536.svg,grand diamant orange,moyen,couleur chaude
streets_normal.pickup.c4,streets_normal,Bagarre en Ruelle,normal,pickup,4,1F537 large blue diamond,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F537.svg,preview-assets/1F537.svg,grand diamant bleu variante,moyen,faible
streets_normal.pickup.c5,streets_normal,Bagarre en Ruelle,normal,pickup,5,1FA99 coin,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA99.svg,preview-assets/1FA99.svg,piece bonus monetaire,moyen,faible
streets_normal.obstacle.c1,streets_normal,Bagarre en Ruelle,normal,obstacle,1,1F6B6 person walking,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6B6.svg,preview-assets/1F6B6.svg,pieton qui marche bloqueur,fort,faible
