original_path,new_path,original_size_kb,new_size_kb,savings_kb,savings_percent,original_dimensions,new_dimensions,format_action,backup_path,notes
public/assets/ui/paperboy/paperboy_boss_system_bg.png,public/assets/ui/paperboy/paperboy_boss_system_bg.webp,2846.7,163.3,2683.4,94.3,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/paperboy/paperboy_boss_system_bg.png,
public/assets/ui/paperboy/paperboy_clear_bg.png,public/assets/ui/paperboy/paperboy_clear_bg.webp,1914.2,86.6,1827.6,95.5,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/paperboy/paperboy_clear_bg.png,
public/assets/ui/paperboy/paperboy_game_over_bg.png,public/assets/ui/paperboy/paperboy_game_over_bg.webp,1480.9,25.6,1455.3,98.3,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/paperboy/paperboy_game_over_bg.png,
public/assets/ui/paperboy/paperboy_gameplay_bg.png,public/assets/ui/paperboy/paperboy_gameplay_bg.webp,2033.4,69.1,1964.3,96.6,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/paperboy/paperboy_gameplay_bg.png,
public/assets/ui/paperboy/paperboy_system_bg.png,public/assets/ui/paperboy/paperboy_system_bg.webp,2056.6,84.0,1972.6,95.9,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/paperboy/paperboy_system_bg.png,
public/assets/ui/kombat/kombat_boss_system_bg.png,public/assets/ui/kombat/kombat_boss_system_bg.webp,2167.4,85.1,2082.3,96.1,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/kombat/kombat_boss_system_bg.png,
public/assets/ui/kombat/kombat_clear_bg.png,public/assets/ui/kombat/kombat_clear_bg.webp,2084.1,79.5,2004.6,96.2,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/kombat/kombat_clear_bg.png,
public/assets/ui/kombat/kombat_game_over_bg.png,public/assets/ui/kombat/kombat_game_over_bg.webp,1807.5,40.4,1767.1,97.8,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/kombat/kombat_game_over_bg.png,
public/assets/ui/kombat/kombat_gameplay_bg.png,public/assets/ui/kombat/kombat_gameplay_bg.webp,1549.6,24.1,1525.5,98.4,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/kombat/kombat_gameplay_bg.png,
public/assets/ui/kombat/kombat_system_bg.png,public/assets/ui/kombat/kombat_system_bg.webp,1744.8,40.8,1704.0,97.7,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/kombat/kombat_system_bg.png,
public/assets/ui/title/title_hub_bg.png,public/assets/ui/title/title_hub_bg.webp,1886.2,76.1,1810.1,96.0,941x1672,608x1080,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/title/title_hub_bg.png,
public/assets/ui/worldmap/world_map_minimap_16_9.png,public/assets/ui/worldmap/world_map_minimap_16_9.webp,2827.3,182.3,2645.0,93.6,1672x941,1080x608,PNG_to_WebP_lossy_q82+resize,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/worldmap/world_map_minimap_16_9.png,
