asset_path,category,tier,original_backup_path,original_size_kb,optimized_1119_size_kb,new_size_kb,selected_format,selected_quality,action,reason,expected_visual_gain,weight_tradeoff
public/assets/ui/worldmap/world_map_minimap_16_9.webp,worldmap,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/worldmap/world_map_minimap_16_9.png,2827.3,182.3,333.2,WebP_lossy,96,reencoded_q96_same_resize,Explicitly reported as blurry/pixelated on mobile after q82 compression,significant — fine details textures and gradients preserved,"+150.9 KB vs 1119, 88.2% saved vs original"
public/assets/map/world_map.webp,worldmap,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/map/world_map.png,2807.0,250.7,443.5,WebP_lossy,96,reencoded_q96_same_resize,Detail-rich world map full view — needs higher quality,significant — fine details textures and gradients preserved,"+192.8 KB vs 1119, 84.2% saved vs original"
public/assets/ui/shinobi/shinobi_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/shinobi/shinobi_boss_system_bg.png,2503.0,115.7,237.7,WebP_lossy,94,reencoded_q94_same_resize,Explicitly reported as too low-res — detailed character + background illustration,significant — fine details textures and gradients preserved,"+122.0 KB vs 1119, 90.5% saved vs original"
public/assets/ui/fighter/fighter_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/fighter/fighter_boss_system_bg.png,2535.1,122.2,234.8,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 95.2% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+112.6 KB vs 1119, 90.7% saved vs original"
public/assets/ui/kombat/kombat_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/kombat/kombat_boss_system_bg.png,2167.4,85.1,181.4,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 96.1% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+96.3 KB vs 1119, 91.6% saved vs original"
public/assets/ui/streets/streets_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/streets/streets_boss_system_bg.png,2252.7,94.9,190.3,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 95.8% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+95.4 KB vs 1119, 91.6% saved vs original"
public/assets/ui/castle/castle_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/castle/castle_boss_system_bg.png,2192.0,79.2,170.0,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 96.4% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+90.8 KB vs 1119, 92.2% saved vs original"
public/assets/ui/sonic/sonic_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/sonic/sonic_boss_system_bg.png,2243.7,119.0,206.1,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 94.7% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+87.1 KB vs 1119, 90.8% saved vs original"
public/assets/ui/outrun/outrun_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/outrun/outrun_boss_system_bg.png,2604.8,146.1,247.7,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 94.4% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+101.6 KB vs 1119, 90.5% saved vs original"
public/assets/ui/paperboy/paperboy_boss_system_bg.webp,boss_screen,A,/home/kali/apps/snake_asset_backups/patch-1119/20260602-130716/public/assets/ui/paperboy/paperboy_boss_system_bg.png,2846.7,163.3,288.1,WebP_lossy,94,reencoded_q94_same_resize,"Boss intro screen — detailed character illustration, 94.3% lossy reduction too aggressive",significant — fine details textures and gradients preserved,"+124.8 KB vs 1119, 89.9% saved vs original"
