asset_key,exists,has_alpha,height,mode,opaque_pixels,partial_alpha_pixels,path,transparent_percent,transparent_pixels,universe,width
pickup_orb,True,True,256,RGBA,21560,7054,public/assets/runtime/universes/castle/pickup_orb.png,42.38,21050,castle,194
obstacle_blink_wall,True,True,256,RGBA,48463,4952,public/assets/runtime/universes/castle/obstacle_blink_wall.png,12.33,7513,castle,238
boss_witch_mirror,True,True,256,RGBA,23237,6225,public/assets/runtime/universes/castle/boss_witch_mirror.png,35.71,16362,castle,179
pickup_ring,True,True,256,RGBA,24744,6488,public/assets/runtime/universes/sonic/pickup_ring.png,52.34,34304,sonic,256
obstacle_bumper,True,True,256,RGBA,41672,9241,public/assets/runtime/universes/sonic/obstacle_bumper.png,21.39,13855,sonic,253
boss_loop_serpent,True,True,249,RGBA,37196,8794,public/assets/runtime/universes/sonic/boss_loop_serpent.png,27.85,17754,sonic,256
pickup_street_bonus,True,True,256,RGBA,41940,7806,public/assets/runtime/universes/streets/pickup_street_bonus.png,22.27,14254,streets,250
obstacle_crowd,True,True,254,RGBA,36586,7200,public/assets/runtime/universes/streets/obstacle_crowd.png,32.66,21238,streets,256
boss_crime_lord,True,True,256,RGBA,27838,5697,public/assets/runtime/universes/streets/boss_crime_lord.png,29.95,14337,streets,187
pickup_energy,True,True,256,RGBA,28205,10995,public/assets/runtime/universes/fighter/pickup_energy.png,38.75,24800,fighter,250
obstacle_charge_marker,True,True,256,RGBA,32798,4911,public/assets/runtime/universes/fighter/obstacle_charge_marker.png,37.58,22707,fighter,236
boss_final_challenger,True,True,256,RGBA,20612,4826,public/assets/runtime/universes/fighter/boss_final_challenger.png,54.21,30114,fighter,217
pickup_checkpoint,True,True,256,RGBA,21114,6207,public/assets/runtime/universes/outrun/pickup_checkpoint.png,33.3,13639,outrun,160
obstacle_car,True,True,160,RGBA,31752,3026,public/assets/runtime/universes/outrun/obstacle_car.png,15.09,6182,outrun,256
boss_turbo_rival,True,True,165,RGBA,20989,5326,public/assets/runtime/universes/outrun/boss_turbo_rival.png,37.7,15925,outrun,256
pickup_shuriken,True,True,256,RGBA,10992,7952,public/assets/runtime/universes/shinobi/pickup_shuriken.png,71.09,46592,shinobi,256
obstacle_decoy,True,True,256,RGBA,33491,6102,public/assets/runtime/universes/shinobi/obstacle_decoy.png,38.38,24663,shinobi,251
boss_shadow_ninja,True,True,250,RGBA,34251,4132,public/assets/runtime/universes/shinobi/boss_shadow_ninja.png,40.03,25617,shinobi,256
pickup_finish_token,True,True,256,RGBA,33483,6296,public/assets/runtime/universes/kombat/pickup_finish_token.png,34.98,21405,kombat,239
obstacle_fatal_zone,True,True,256,RGBA,38759,2635,public/assets/runtime/universes/kombat/obstacle_fatal_zone.png,31.19,18766,kombat,235
boss_dragon_gate,True,True,256,RGBA,42190,4379,public/assets/runtime/universes/kombat/boss_dragon_gate.png,25.14,15639,kombat,243
pickup_newspaper,True,True,191,RGBA,14195,11201,public/assets/runtime/universes/paperboy/pickup_newspaper.png,48.06,23500,paperboy,256
obstacle_dog,True,True,170,RGBA,23219,4956,public/assets/runtime/universes/paperboy/obstacle_dog.png,35.26,15345,paperboy,256
boss_neighborhood_chaos,True,True,233,RGBA,37057,6174,public/assets/runtime/universes/paperboy/boss_neighborhood_chaos.png,27.52,16417,paperboy,256
