path,exists,type,items
public/assets/external/_downloaded,False,,0
public/assets/external/_extracted,False,,0
public/assets/external/_manual_drop,False,,0
public/assets/external/_audit,True,dir,1
public/assets/external/_sources,True,dir,1
public/assets/external/_licenses,True,dir,1
public/assets/design_board_icons,False,,0
public/assets/design_boards_raw,False,,0
public/assets/runtime_candidates_from_design_boards,False,,0
public/assets/generated,False,,0
tools/design-boards,False,,0
tools/assets,False,,0
src/assets/externalAssetManifest.ts,False,,0
