bytes,ext,height,kb,mode,path,transparent_percent,width
2874347,.png,1086,2807.0,RGB,dist/assets/map/world_map.png,0,1448
2208019,.png,1536,2156.3,RGB,dist/assets/universes/castle/board_preview.png,0,1024
282,.png,48,0.3,RGBA,dist/assets/universes/castle/boss.png,65.28,48
129,.png,32,0.1,RGBA,dist/assets/universes/castle/frame_tile.png,0.0,32
304,.png,56,0.3,RGBA,dist/assets/universes/castle/hud_panel.png,0.0,360
138,.png,32,0.1,RGBA,dist/assets/universes/castle/obstacle_01.png,43.75,32
138,.png,32,0.1,RGBA,dist/assets/universes/castle/obstacle_02.png,43.75,32
189,.png,32,0.2,RGBA,dist/assets/universes/castle/pickup_01.png,74.12,32
229,.png,32,0.2,RGBA,dist/assets/universes/castle/pickup_02.png,56.93,32
2131767,.png,1536,2081.8,RGB,dist/assets/universes/fighter/board_preview.png,0,1024
325,.png,48,0.3,RGBA,dist/assets/universes/fighter/boss.png,49.05,48
133,.png,32,0.1,RGBA,dist/assets/universes/fighter/frame_tile.png,0.0,32
301,.png,56,0.3,RGBA,dist/assets/universes/fighter/hud_panel.png,0.0,360
137,.png,32,0.1,RGBA,dist/assets/universes/fighter/obstacle_01.png,61.33,32
138,.png,32,0.1,RGBA,dist/assets/universes/fighter/obstacle_02.png,43.75,32
244,.png,32,0.2,RGBA,dist/assets/universes/fighter/pickup_01.png,58.89,32
196,.png,32,0.2,RGBA,dist/assets/universes/fighter/pickup_02.png,75.29,32
2286297,.png,1536,2232.7,RGB,dist/assets/universes/kombat/board_preview.png,0,1024
215,.png,48,0.2,RGBA,dist/assets/universes/kombat/boss.png,62.67,48
128,.png,32,0.1,RGBA,dist/assets/universes/kombat/frame_tile.png,0.0,32
301,.png,56,0.3,RGBA,dist/assets/universes/kombat/hud_panel.png,0.0,360
134,.png,32,0.1,RGBA,dist/assets/universes/kombat/obstacle_01.png,61.33,32
191,.png,32,0.2,RGBA,dist/assets/universes/kombat/obstacle_02.png,75.29,32
220,.png,32,0.2,RGBA,dist/assets/universes/kombat/pickup_01.png,48.34,32
218,.png,32,0.2,RGBA,dist/assets/universes/kombat/pickup_02.png,63.18,32
3023474,.png,1536,2952.6,RGBA,dist/assets/universes/outrun/board_preview.png,0.0,1024
213,.png,48,0.2,RGBA,dist/assets/universes/outrun/boss.png,74.0,48
128,.png,32,0.1,RGBA,dist/assets/universes/outrun/frame_tile.png,0.0,32
301,.png,56,0.3,RGBA,dist/assets/universes/outrun/hud_panel.png,0.0,360
168,.png,32,0.2,RGBA,dist/assets/universes/outrun/obstacle_01.png,73.24,32
132,.png,32,0.1,RGBA,dist/assets/universes/outrun/obstacle_02.png,82.42,32
132,.png,32,0.1,RGBA,dist/assets/universes/outrun/pickup_01.png,76.95,32
199,.png,32,0.2,RGBA,dist/assets/universes/outrun/pickup_02.png,78.52,32
2438059,.png,1536,2380.9,RGB,dist/assets/universes/paperboy/board_preview.png,0,1024
227,.png,48,0.2,RGBA,dist/assets/universes/paperboy/boss.png,47.05,48
126,.png,32,0.1,RGBA,dist/assets/universes/paperboy/frame_tile.png,0.0,32
302,.png,56,0.3,RGBA,dist/assets/universes/paperboy/hud_panel.png,0.0,360
170,.png,32,0.2,RGBA,dist/assets/universes/paperboy/obstacle_01.png,69.34,32
137,.png,32,0.1,RGBA,dist/assets/universes/paperboy/obstacle_02.png,43.75,32
151,.png,32,0.1,RGBA,dist/assets/universes/paperboy/pickup_01.png,61.33,32
216,.png,32,0.2,RGBA,dist/assets/universes/paperboy/pickup_02.png,56.93,32
2137762,.png,1536,2087.7,RGB,dist/assets/universes/shinobi/board_preview.png,0,1024
228,.png,48,0.2,RGBA,dist/assets/universes/shinobi/boss.png,59.55,48
124,.png,32,0.1,RGBA,dist/assets/universes/shinobi/frame_tile.png,0.0,32
298,.png,56,0.3,RGBA,dist/assets/universes/shinobi/hud_panel.png,0.0,360
161,.png,32,0.2,RGBA,dist/assets/universes/shinobi/obstacle_01.png,82.62,32
138,.png,32,0.1,RGBA,dist/assets/universes/shinobi/obstacle_02.png,43.75,32
174,.png,32,0.2,RGBA,dist/assets/universes/shinobi/pickup_01.png,78.42,32
141,.png,32,0.1,RGBA,dist/assets/universes/shinobi/pickup_02.png,83.2,32
1933630,.png,1536,1888.3,RGB,dist/assets/universes/sonic/board_preview.png,0,1024
210,.png,48,0.2,RGBA,dist/assets/universes/sonic/boss.png,60.94,48
134,.png,32,0.1,RGBA,dist/assets/universes/sonic/frame_tile.png,0.0,32
302,.png,56,0.3,RGBA,dist/assets/universes/sonic/hud_panel.png,0.0,360
170,.png,32,0.2,RGBA,dist/assets/universes/sonic/obstacle_01.png,73.24,32
134,.png,32,0.1,RGBA,dist/assets/universes/sonic/obstacle_02.png,61.33,32
213,.png,32,0.2,RGBA,dist/assets/universes/sonic/pickup_01.png,62.5,32
195,.png,32,0.2,RGBA,dist/assets/universes/sonic/pickup_02.png,74.12,32
2030866,.png,1536,1983.3,RGB,dist/assets/universes/streets/board_preview.png,0,1024
209,.png,48,0.2,RGBA,dist/assets/universes/streets/boss.png,63.45,48
133,.png,32,0.1,RGBA,dist/assets/universes/streets/frame_tile.png,0.0,32
301,.png,56,0.3,RGBA,dist/assets/universes/streets/hud_panel.png,0.0,360
135,.png,32,0.1,RGBA,dist/assets/universes/streets/obstacle_01.png,61.33,32
